article_id,title,author,publication_year,overall_comments,vol_nr,issue_nr,journal,misc_2,web_url,doi,trial_nr,protocol,results_of_the_protocol_already_published,published_results_included_in_the_list,pooled_analysis,post_hoc_secondary_analysis,continent_last_author,sample_size,cci_1st_ep,cci_2nd_ep,cci_expl_ep,cci_reported_in_results,cci_modification,specification_of_modification,primary_outcome_significant,statistically_significant_difference_for_cci,between_group_difference_of_cci,between_group_difference_of_cci_12,mean_or_median_used,cci_for_ss_used,if_cci_used_specification_of_ss_calculation,study_must_be_excluded_e_g_protocol_whose_study_has_been_conducted,evaluation_unclear,comments,doi_protocol,protocol_published,cci_1st_ep_in_protocol,cci_in_ss_calculation_of_protocol,specification_of_ss_calculation,definition_of_non_inf_margin,article_ID,Title,paper_type,study_type,discipline,continent,cci_report_in_results
11587,"Comprehensive complication index for NOTES procedures: results from a randomized controlled trial and comparison to published NOTES complication data
","Borchert, D. H.; Federlein, M.; Müller, V. A.; Wagenpfeil, S.; Eisele, R. M.",2015,second analysis where the CCI is investigated,29,10,"Surgical Endoscopy
","Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942315317&doi=10.1007%2fs00464-014-4023-7&partnerID=40&md5=7e5706982cb49a636d231621dfc56abe
",10.1007/s00464-014-4023-7,NA,Not a protocol,na,na,No,Yes,1,97,Yes,No,No,1,0,NA,No,NA,NA,NA,NA,NA,na,Yes,No,post-hoc analysis. Difficult to use for our analysis!!,http://www.sana-kl.de/unser-leistungsspektrum/kliniken-institute/allgemein-und-viszeralchirurgie/studien.html,NA,NA,NA,NA,NA,11587,"Comprehensive complication index for NOTES procedures: results from a randomized controlled trial and comparison to published NOTES complication data
",Article,NA,Abdominal Surgery,Europe,Yes
added15,"Perioperative Simvastatin Therapy in Major Colorectal Surgery: A Prospective, Double-Blind Randomized Controlled Trial","Singh, Primal P. MBChB, PhDa, *; Lemanu, Daniel P. MBChB, PhDa; Soop, Mattias MD, PhDc; Bissett, Ian P. MBChB, MD, FRACSd; Harrison, Jeff BSc Hons (Pharmacy), PhDb; Hill, Andrew G. MBChB, MD (Thesis), EdD, FRACS, FACSa",2016,NA,NA,NA,Journal of the American College of Surgeons,NA,https://journals.lww.com/journalacs/fulltext/2016/08000/perioperative_simvastatin_therapy_in_major.12.aspx,10.1016/j.jamcollsurg.2016.04.004,NCT00994903,Not a protocol,na,na,No,No,5,144,Yes,No,No,1,0,NA,No,No,0,No,Median,No,"Power calculation was performed a priori using G*Power 3.132 for the primary outcome of overall incidence of complications up to 30 days postoperatively. Using previously published data,23 the expected incidence of 30-day complications was estimated at 50%. Using the 2-tailed Fisher's exact test, 64 patients would be required in each group to detect a clinically important difference of 25% in the rate of complications, with an α of 0.05 and power (1–β) of 0.8. Therefore, we aimed to recruit 140 patients to account for possible drop outs and loss to follow-up. No interim analyses were planned or performed.",No,No,NA,https://clinicaltrials.gov/study/NCT00994903?term=NCT00994903&rank=1,NA,No,NA,na,na,added15,"Perioperative Simvastatin Therapy in Major Colorectal Surgery: A Prospective, Double-Blind Randomized Controlled Trial",Unknown,Superiority study,Abdominal Surgery,Australia/ New Zealand,Yes
4890,"Using the Comprehensive Complication Index to Assess the Impact of Neoadjuvant Chemoradiotherapy on Complication Severity After Esophagectomy for Cancer
","Nederlof, N.; Slaman, A. E.; van Hagen, P.; van der Gaast, A.; Slankamenac, K.; Gisbertz, S. S.; van Lanschot, J. J. B.; Wijnhoven, B. P. L.; van Berge Henegouwen, M. I.; Tilanus, H. W.",2016,NA,23,12,"Annals of Surgical Oncology
","Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974831730&doi=10.1245%2fs10434-016-5291-3&partnerID=40&md5=0168ddda87c9ef72dcc9c064c11c967a
",10.1245/s10434-016-5291-3,NTR487,Not a protocol,na,na,No,Yes,1,322,Yes,No,No,1,0,NA,No,No,0.48,No,Median,No,na,No,No,this is a post-hoc analysis. Trial was powered for overall survival,https://bmcsurg.biomedcentral.com/articles/10.1186/1471-2482-8-21,NA,No,No,na,na,4890,"Using the Comprehensive Complication Index to Assess the Impact of Neoadjuvant Chemoradiotherapy on Complication Severity After Esophagectomy for Cancer
",Article,Superiority study,Abdominal Surgery,Europe,Yes
5981,"Comparison of the short-term clinical outcome between open and minimally invasive esophagectomy by comprehensive complication index
","Ma, G.; Cao, H.; Wei, R.; Qu, X.; Wang, L.; Zhu, L.; Du, J.; Wang, Y.",2018,NA,14,4,"Journal of Cancer Research and Therapeutics
","Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053420029&doi=10.4103%2fjcrt.JCRT_48_18&partnerID=40&md5=f8380005a6a9f156e27418b4745985d0
",10.4103/jcrt.JCRT_48_18, ,Not a protocol,na,na,No,No,4,144,Yes,No,No,1,0, ,Yes,Yes,6.09,No,Mean,NA,na,No,No, ,na,NA,NA,NA,na,na,5981,"Comparison of the short-term clinical outcome between open and minimally invasive esophagectomy by comprehensive complication index
",Article,NA,Abdominal Surgery,Asia,Yes
11441,"Early complications in delayed breast reconstruction: A prospective, randomized study comparing different reconstructive methods in radiated and non-radiated patients
","Brorson, F.; Thorarinsson, A.; Kölby, L.; Elander, A.; Hansson, E.",2020,NA,46,12,"European Journal of Surgical Oncology
","Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089449670&doi=10.1016%2fj.ejso.2020.07.010&partnerID=40&md5=d8f9e082dbeddb773b3da4b05798c5bb
",10.1016/j.ejso.2020.07.010, NCT03963427,Not a protocol,na,na,No,No,1,150,No,Yes,No,1,0,NA,No,No,4.6,No,Median,No,na,No,No,CCI is not the primary EP of this study,https://clinicaltrials.gov/study/NCT03963427?term=NCT03963427&rank=1,NA,No,No,NA,na,11441,"Early complications in delayed breast reconstruction: A prospective, randomized study comparing different reconstructive methods in radiated and non-radiated patients
",Article,Superiority study,Other disciplines with invasive procedures,Europe,Yes
1995,Effect of Hydrocortisone vs Pasireotide on Pancreatic Surgery Complications in Patients with High Risk of Pancreatic Fistula: A Randomized Clinical Trial,"Tarvainen, T.; Sirén, J.; Kokkola, A.; Sallinen, V.",2020, ,155,4,JAMA Surgery,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079238339&doi=10.1001%2fjamasurg.2019.6019&partnerID=40&md5=5f2f0a65edf346bbc09bf83eceacaac8,10.1001/jamasurg.2019.6019,NCT02775227,Not a protocol, , ,No,No,1,168,Yes,No,No,1,0,na,NA,No,6.16,No,Mean,Yes,"We chose the CCI as the primary outcome because it is based on the established Clavien-Dindo classification system but takes into account all cumulative complications and is thus more sensitive indicator of overall complication burden. We setthenoninferioritylimitat9points,becausea10-pointdifference reflects 1 Clavien-Dindo grade difference in complication burden.19 We aimed to show that the CCI score in the hydrocortisonegroupwouldnotbemorethan9pointshigher than the score in the pasireotide group. Based on published data,weassumedtheSDtobe20.19Wecalculatedthat124patients were needed to shownoninferiority of hydrocortisone with 80%poweranda1-sidedαlevelof.05. Noninferioritywastestedbythelowerlimitofthe90%CI of the meandifference (equivalent of the 95% CI of a 1-sided test). If the lower limit of the CCI mean difference 90% CI is lowerthan–9,noninferiorityisnotmet.T",No,No, , https://pmc.ncbi.nlm.nih.gov/articles/instance/7042940/bin/jamasurg-155-291-s001.pdf,NA,Yes,Yes,"Sample size is calculated based on primary outcome, Comprehensive complication index (CCI). CCI is based on Clavien-Dindo (C-D) classification, and CCI takes into account cumulative burden of complications better than C-D classification (Slankamenac et al., 2014). Thus CCI is more sensitive and requires smaller sample size compared to C-D classification. Clinically relevant difference in CCI is set at 10 points. This study will aim to show that cortisone-group does not have more than 9 CCI points more than in the pasireotide-group. Standard deviation (SD) is estimated to be 20 based on earlier publications. Based on sample size calculations 62 patients are required per group to show this, thus total 124 patients","9 CCI-points, because 10 point difference reflects CD grade 1.",1995,Effect of Hydrocortisone vs Pasireotide on Pancreatic Surgery Complications in Patients with High Risk of Pancreatic Fistula: A Randomized Clinical Trial,Article,Non-inferiority study,Abdominal Surgery,Europe,Yes
6257,"Perioperative omega-3 fatty acids fail to confer protection in liver surgery: Results of a multicentric, double-blind, randomized controlled trial
","Linecker, M.; Botea, F.; Aristotele Raptis, D.; Nicolaescu, D.; Limani, P.; Alikhanov, R.; Kim, P.; Wirsching, A.; Kron, P.; Schneider, M. A.; Tschuor, C.; Kambakamba, P.; Oberkofler, C.; De Oliveira, M. L.; Bonvini, J.; Efanov, M.; Graf, R.; Petrowsky, H.; Khatkov, I.; Clavien, P. A.; Popescu, I.",2020,NA,72,3,"Journal of Hepatology
","Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076852575&doi=10.1016%2fj.jhep.2019.10.004&partnerID=40&md5=028e21db45b1dd3036b2ea5bf5b5a7c0
",10.1016/j.jhep.2019.10.004,NCT01884948,Not a protocol,na,na,No,No,1,261,Yes,No,No,1,0, ,No,No,3,No,Mean,Yes,"Based on an expected mean of CCI of 17 and 65% of total complications in patients undergoing hepatectomy (cohort of the University Hospital Zurich) we assumed that perioperative continuous i.v. administration of Omegaven may decrease the CCI and/or total complications by 30% (α: 0.05, Power (1-β): 0.8, 2-sided test). A 30% reduction of complications and CCI was agreed to be a clinically relevant endpoint. Considering a putative dropout rate of 10%, we determined that a sample size of 129 patients per randomized group (total: n = 258) would be required. An interim analysis for safety was scheduled after 60 cases. ",No,No, ,https://www.scopus.com/pages/publications/84939173471?inward=,NA,Yes,Yes,"We hypothesized that in 117 patients two intravenous infusions of Omegaven™ will protect the liver causing effective reduction of the post-operative complication rates (CCI) by 30 % when compared to the 117 placebo patients. The sample size of 117 patients per randomized group (234 in total) was calculated based on the following parameters using the patient cohort of major liver resections at the University Hospital Zurich: Percentage of complications for placebo group: 65 % Mean CCI in major resections is 17 (standard deviation: 15.9) Percentage of complications for Omegaven™ group: 30 % reduction of complications and/or CCI α: 0.05 Power (1-β): 0.8 2-sided test Expected differences in proportions are based on data derived from the literature. Such a statistically significant reduction of the complication rate is considered to be clinically significant. A 10 % dropout rate is relatively common for liver resection, we thus have increased the sample size to 258 patients in total for both groups.",NA,6257,"Perioperative omega-3 fatty acids fail to confer protection in liver surgery: Results of a multicentric, double-blind, randomized controlled trial
",Article,Superiority study,Abdominal Surgery,Europe,Yes
11525,"Immediate versus postponed intervention for infected necrotizing pancreatitis
","Boxhoorn, L.; van Dijk, S. M.; van Grinsven, J.; Verdonk, R. C.; Boermeester, M. A.; Bollen, T. L.; Bouwense, S. A. W.; Bruno, M. J.; Cappendijk, V. C.; Dejong, C. H. C.; van Duijvendijk, P.; van Eijck, C. H. J.; Fockens, P.; Francken, M. F. G.; van Goor, H.; Hadithi, M.; Hallensleben, N. D. L.; Haveman, J. W.; Jacobs, M. A. J. M.; Jansen, J. M.; Kop, M. P. M.; van Lienden, K. P.; Manusama, E. R.; Mieog, S. J. D.; Molenaar, I. Q.; Nieuwenhuijs, V. B.; Poen, A. C.; Poley, J. W.; van de Poll, M.; Quispel, R.; Römkens, T. E. H.; Schwartz, M. P.; Seerden, T. C.; Stommel, M. W. J.; Straathof, J. W. A.; Timmerhuis, H. C.; Venneman, N. G.; Voermans, R. P.; van de Vrie, W.; Witteman, B. J.; Dijkgraaf, M. G. W.; van Santvoort, H. C.; Besselink, M. G.",2021,NA,385,15,"New England Journal of Medicine
","Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116889505&doi=10.1056%2fNEJMoa2100826&partnerID=40&md5=ea59e6ce9fef86509a7a0ee93bfed966
",10.1056/NEJMoa2100826, ISRCTN33682933,Not a protocol,NA,NA,No,No,1,104,Yes,No,No,1,0,NA,No,No,1,No,Mean,Yes,"A difference of 10 points on the Comprehensive Complication Index reflects a one-grade difference in the Clavien–Dindo classification, an association based on a previous validation study that assessed the Comprehensive Complication Index as an end point in randomized trials.20 Because infected necrotizing pancreatitis is a heterogeneous disease associated with substantial morbidity, we calculated the sample size by hypothesizing a clinically relevant 15-point reduction in the Comprehensive Complication Index from a mean (±SD) of 40±27 (on the basis of the number of complications observed in previous randomized trials conducted by the Dutch Pancreatitis Study Group) to 25.22,23 Assuming a two-sided alpha level of 5%, a power of 80%, and a 2% loss to follow-up, we calculated the total sample size to be 104 patients.",No,No,NA,https://pubmed.ncbi.nlm.nih.gov/31023380/,NA,Yes,Yes,"The sample size was calculated based on the primary endpoint, the CCI. A mean CCI score of 40 (with standard deviation of 27) for postponed catheter drainage is based on the number of complications identified in the step-up arm of the PANTER trial [3] and TENSION trial [9]. Analysis by Student’s t test will have 80% power to detect a clinically relevant reduction of 15 to a CCI score of 25 [21] at a significance level of 0.05; for a sample size that equals 2 × 51, this will result in 102 evaluable patients. Assuming a dropout rate of about 2%, then 104 patients need to be included. A drop-out rate of 2% is relatively low, but was chosen from experience with other trials in our study group including patients with necrotizing pancreatitis, in which no there was no loss to follow-up or drop-outs [3, 9].",NA,11525,"Immediate versus postponed intervention for infected necrotizing pancreatitis
",Article,Superiority study,Abdominal Surgery,Europe,Yes
9984,"Early versus late reversal of diverting loop ileostomy in rectal cancer surgery: a multicentre randomized controlled trial
","Ellebæk, M. B.; Perdawood, S. K.; Steenstrup, S.; Khalaf, S.; Kundal, J.; Möller, S.; Bang, J. C.; Støvring, J.; Qvist, N.",2023,NA,13,1,"Scientific Reports
","Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152100678&doi=10.1038%2fs41598-023-33006-4&partnerID=40&md5=0f93a5ca24dce164816a96f67df18d43
",10.1038/s41598-023-33006-4,NCT01865071,Not a protocol,na,na,No,No,1,2141,Yes,Yes,No,1,0, ,No,No,0.9,No,NA,No,na,No,No," protocol: RATE of complications as primary EP, in study morbidity measured by CCI",https://clinicaltrials.gov/study/NCT01865071,NA,No,NA,na,NA,9984,"Early versus late reversal of diverting loop ileostomy in rectal cancer surgery: a multicentre randomized controlled trial
",Article,NA,Other disciplines with invasive procedures,Europe,Yes
5256,"Effect of Multimodal Prehabilitation on Reducing Postoperative Complications and Enhancing Functional Capacity Following Colorectal Cancer Surgery: The PREHAB Randomized Clinical Trial
","Molenaar, C. J. L.; Minnella, E. M.; Coca-Martinez, M.; Ten Cate, D. W. G.; Regis, M.; Awasthi, R.; Martínez-Palli, G.; López-Baamonde, M.; Sebio-Garcia, R.; Feo, C. V.; Van Rooijen, S. J.; Schreinemakers, J. M. J.; Bojesen, R. D.; Gögenur, I.; Van Den Heuvel, E. R.; Carli, F.; Slooter, G. D.",2023,NA,158,6,"JAMA Surgery
","Article
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161266668&doi=10.1001%2fjamasurg.2023.0198&partnerID=40&md5=6020f7cc6a3e3632f361017c1658fca4
",10.1001/jamasurg.2023.0198,NTR5947,Not a protocol,NA,NA,No,No,1,269,Yes,No,No,1,1,severe complications defineds as: CCI>20. but CCI>20 can also be achieved with severeral grade 1 complications,Yes,No,0,No,Median,Yes,"Sample size calculation was based on the mean (SD) CCI (10.4 [14]) in our population. We considered a decrease of the CCI of 30% as clinically meaningful. Using an α of 0.05, power of 0.80 (2-sided test), and expecting a dropout rate of 10%, an estimated 714 (357 per arm) sample size was aimed for. This sample size was considered to be sufficient to demonstrate a difference in the coprimary outcome (6-MWD).",No,No,NA,https://bmccancer.biomedcentral.com/articles/10.1186/s12885-018-5232-6,NA,Yes,Yes,"The size of the sample will be calculated on the basis of the primary aim: the reduction of postoperative complications as determined with the CCI score. With our population variables, the CCI mean is 10.4 (SD 14), and the target reduction is 30%. We use an alpha of 0.05 and power of 0.80 (two-sided test). We expect a dropout rate of 10%. We therefore need 714 patients: 357 in each arm. This gives us sufficient statistical power to demonstrate the expected proportion of difference (55% versus 20%) in the 6MWT between baseline and surgery based on previous studies [14, 27]. Approximately 600 eligible CRC patients undergo surgery in one of the six participating hospitals annually. ",NA,5256,"Effect of Multimodal Prehabilitation on Reducing Postoperative Complications and Enhancing Functional Capacity Following Colorectal Cancer Surgery: The PREHAB Randomized Clinical Trial
",Article,NA,Abdominal Surgery,Europe,Yes
