key,authors,title,year,doi,pretrial_document_type,RCT_aim_trial,protocol_aim_trial,RCT_design_aim,protocol_design_aim,RCT_primary_endpoint,protocol_primary_endpoint,RCT_sample_size,protocol_sample_size,RCT_clinical_discussion_interpretation,final_publication_significant_results,condordance_aim,consensus_aim_trial,consensus_design_aim,condordance_design_aim,condordance_primary_endpoint,condordance_sample_size,outcome
rayyan-416562605,"Patel, S and Kataria, K and Ranjan, P and Dhar, A and Seenu, V and Pandey, RM and Srivastava, A",Randomized Controlled Clinical Trial for Mastectomy Skin Flaps: pre-Mammary Fascial Plane Versus a Thin Skin Flap Between Small and Large Fat Lobules and Flap Raised by Scalpel Versus Electrodiathermy,2024,10.1007/s12262-023-03885-y,3,0,999,0,999,Risk of mastectomy skin necrosis (MSN),a)Flap Necrosis: It will be coded as present or absent b)Surgical site infection: It will be coded as present or absent c)Seroma: It will be coded as present or absent d)Hematoma: It will be coded as present or absent e)Blood loss in ml during flap raising and in first 24 hrs in drain fluid. f)Time taken for raising flaps g)Amount of drainage fluid in ml till drain is removed. h)Days with drain.,999,999,0,1,1,0,0,1,2,999,0
rayyan-416562606,"Whitley, A and Baláž, P and Kavalírek, J and Hanusová, J and Gürlich, R",Evaluating the impact of an anti‐microbial silver‐impregnated surgical dressing on wound infections and healing: a randomised clinical trial,2024,10.1111/wrr.13142,999,999,NA,0,NA,999,NA,999,999,999,999,NA,NA,NA,NA,NA,999,0
rayyan-416562608,"Garg, R and Rathore, YS and Chumber, S and Kataria, K and Saini, V and Mohan, A",A Randomised Controlled Study to Reduce the Incidence of Umbilical Port Site Complications in Laparoscopic Cholecystectomy Using Uniform Methods of Umbilical Hygiene,2024,10.1007/s12262-024-04033-w,3,1,999,0,999,999,1. Compare the incidence of port site hernia with and without the use of the standardized method of umbilical hygiene 2. Compare the incidence of port site infection with and without the use of the standardized method of umbilical hygiene 3. Compare the incidence of wound complication with and without the use of the standardized method of umbilical hygiene,999,999,0,0,1,1,0,0,1,999,0
rayyan-416562610,"Bunkar, SK and Verma, K and Jhunjhunwala, A and Singh, A",A Randomized Controlled Clinical Trial of N-Butyl Cyanoacrylate Glue Fixation Versus Tacker Fixation of Mesh in Endoscopic Totally Extraperitoneal Hernia Repair,2024,10.1007/s12262-021-03118-0,999,999,NA,0,NA,"Endpoints studied were recurrence at the end of 6 months, post-operative acute and chronic pain, analgesic requirement in the post-operative period, and duration of surgery.",NA,999,NA,0,0,NA,NA,NA,NA,NA,NA,0
rayyan-416562611,"Kennedy, C and Dowdy, A and McQuillan-Emerson, H and Reinert, D and Ballhaus, B and Rogers, L and Baker, R","Providing coffee in the PACU: impact on postoperative nausea and vomiting, patient satisfaction, and length of stay",2024,NA,999,999,NA,0,NA,999,NA,999,NA,999,0,NA,NA,NA,NA,NA,NA,0
rayyan-416562616,"Juanpeng, Yu and Ting, Yu and Shengsheng, Yu and Yingchun, Gao",Short-term efficacy of laparoscopic type C radical hysterectomy by deep uterine vein approach for treatment of cervical cancer,2024,10.29063/ajrh2024/v28i12.8,999,999,NA,0,NA,999,NA,999,NA,999,999,NA,NA,NA,NA,NA,NA,0
rayyan-416562621,"Jyoti, K and Sharma, A and Rao, PP",Randomised Clinical Trial of Harmonic Scalpel Haemorrhoidectomy Versus Stapled Haemorrhoidopexy in grade III / IV Haemorrhoids,2024,10.1007/s12262-023-03901-1,3,999,999,0,999,"Following the surgical intervention, patient  was evaluated on the primary outcome measures, which  comprised of post operative pain assessment using Visual  Analogue Scale, requirement of analgesia (Time Frame: at  06 h, 24 h, 36 h & 72 h), and intra-operative blood loss  (weight of dry and wet Gauze piece).","Following the surgical intervention, patient  was evaluated on the primary outcome measures, which  comprised of post operative pain assessment using Visual  Analogue Scale, requirement of analgesia (Time Frame: at  06 h, 24 h, 36 h & 72 h), and intra-operative blood loss  (weight of dry and wet Gauze piece).",999,999,0,1,0,999,0,999,1,999,0
rayyan-416562625,"孙敬争, and 贾学勤, and 张东芝, and 李丹丹, and 张丽, and 段伟利,",O 臂导航辅助脊柱后路减压植骨融合内固定治疗 脊柱退行性疾病的临床研究,2024,10.13517/j.cnki.ccm.2024.12.021,999,999,NA,0,NA,999,NA,999,NA,999,999,NA,NA,NA,NA,NA,NA,0
rayyan-416562627,"Сагалевич, АІ and Ожогін, ВВ and Возіанов, ОС and Дубовий, ЯО and Постол, ЯМ and Никифорук, ОО and Наумчук, ОМ",Периопераційна профілактика інфекцій верхніх сечових шляхів у перкутанній хірургії нефролітіазу,2024,10.30841/2786-7323.3.2024.316655,999,999,NA,0,NA,999,NA,999,NA,999,999,NA,NA,NA,NA,NA,NA,0
rayyan-416562644,"Elghadban, H and Negm, A and Hisham, I and Elganash, AE and Taki-Eldin, A",Fixation of Conventional Polypropylene Mesh Versus Non-fixation of 3D Mesh in Laparoscopic Transabdominal Preperitoneal (TAPP) Inguinal Hernia Repair: a Randomized Controlled Trial,2024,10.1007/s12262-023-03974-y,999,999,NA,0,NA,"The primary outcome was the postoperative pain which was evaluated by  the visual analogue Scale (VAS) which is graded from  0 to 10, where 0 referred to no pain, 1–3 indicated mild  pain, 4–6 indicated moderate pain, and 7–10 indicated  severe pain.",NA,999,NA,0,1,NA,NA,NA,NA,NA,NA,0
