trial_nr,protocol,article_id,title,web_url,protocol_published_original_column,study_type_pilot,pooled_analysis,post_hoc_secondary_analysis,discipline,continent,sample_size,cci_mismatch_analysis,cd_cci_reported_in_results,cci_modification,specification_of_modification,primary_outcome_significant,statistically_significant_difference_for_cci,between_group_difference_of_cci_12,between_group_difference_of_cci,mean_or_median_used,significance_considered,conclusion_of_authors,protocol_published,study_must_be_excluded,exclusion_reason,comments,comments_2,doi,publication_year,cci_ep,cci_1st_ep,cci_2nd_ep,cci_expl_ep,ss_calculation,cci_used_for_ss_calculation,specification_of_ss_calculation,study_type_mentioned,type_of_study_sup_non_inf,non_inf_margin,definition_of_non_inf_margin
ChiCTR2100045560,Protocol,28,"Effect of perioperative rehabilitation exercise on postoperative outcomes in patients aged ≥65 years undergoing gastrointestinal surgery: A multicenter randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207891939&doi=10.1016%2fj.jclinane.2024.111670&partnerID=40&md5=f3da79824e8ec0b10de5e090d2727e80
",NA,Not pilot study,No,No,"ICU,Anesthesiology",Asia,160,NA,Yes,No,na,Yes,Yes,No,3.9,Mean,Statistical significance,Favorable to intervention,"No protocol,registry",No,NA,NA,NA,https://www.chictr.org.cn/showprojEN.html?proj=124431,NA,CCI primary endpoint,Yes,No,No,Yes,NA,Not mentioned,No,Superiority trial (assumed),NA,NA
NCT06630858,Protocol,34,"Unilateral subcostal anterior quadratus lumborum block versus intrathecal morphine for postoperative pain in laparoscopic nephrectomy: A randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010756948&doi=10.1136%2frapm-2025-106844&partnerID=40&md5=f7c13289adde60bcdcebb29f2c41e870
",NA,Not pilot study,No,No,"ICU,Anesthesiology",Europe,80,NA,Yes,No,na,No,No,No,1,Median,NA,NA,"No protocol,registry",No,NA,NA,NA,https://clinicaltrials.gov/study/NCT06630858,NA,CCI non-primary endpoint,No,Yes,No,Yes,NA,Not mentioned,Yes,Non-inferiority trial (explicited),No,NA
NCT03466606,Protocol,42,"Multimodal prehabilitation as a strategy to reduce postoperative complications in cardiac surgery: A randomised controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010867099&doi=10.1097%2fEJA.0000000000002236&partnerID=40&md5=cff6b472f4c8d122e13b96e04d8a577b
",NA,Not pilot study,No,No,"ICU,Anesthesiology",Europe,160,NA,Yes,No,na,No,No,No,0,Median,NA,NA,Protocol published,No,NA,NA,"sample size calculated based on main outcome = % of patients with postop complications in high risk patients for major abdominal surgery, difference of 20%",https://bmjopen.bmj.com/content/10/12/e039885.abstract,NA,CCI not an endpoint,No,No,No,Yes,No,"Sample size for this trial has been calculated based on the primary outcome of the study that is the reduction of incidence of postoperative complications in the prehabilitation group. Our own data in a similar population of patients indicated that the incidence of postoperative complications was 30%. Accepting a two- sided alpha- risk of 0.05 and beta- risk of 0.20, anticipating 10% of drop- outs, indicated the need of including 80 participants per group to detect a reduction of the percentage of patients with complications in the intervention group compared with the control group 20%. No adjustment for multiplicity was proposed due to this is a clinical trial with one primary outcome and without needed of interim analyses.",No,NA,NA,NA
NCT04878185,Protocol,43,"Effect of preoperative exercise on postoperative complications after colorectal cancer surgery in older people with low physical fitness: The CANOPTIPHYS randomised controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006845354&doi=10.1016%2fj.jgo.2025.102280&partnerID=40&md5=ad8febb1696f4249075f1007c6537d4b
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,52,NA,Yes,No,na,No,No,No,8.7,Median,NA,NA,Protocol published,No,NA,NA,sample size calculated based on both main outcome and one other outcome = CDC grade difference with SD of 1.32 + effect on 6-min walk test,10.1186/s13063-022-07026-w,NA,CCI non-primary endpoint,No,Yes,No,Yes,No,"The sample size was calculated based on the primary hypothesis that the intervention would (1) result in better physical performance measured by the 6MWT pre-surgery and (2) result in 1 grade lower post-operative complications according to CD classification 30 days post-surgery. The standard deviation (SD) used in the sample size calculations were based on data reported in a previous study [10]. For both outcomes, the calculations are based on the assumptions of equal group size and calculated for the independent t-test.",Yes,Superiority trial (explicited),NA,NA
TCTR20210527003,Protocol,44,"Portal flow modulation by splenic artery ligation to prevent posthepatectomy liver failure: A randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002157837&doi=10.1016%2fj.surg.2025.109351&partnerID=40&md5=4d0ad472b4b0686ea18dfcfa76188764
",NA,Not pilot study,No,No,Abdominal Surgery,Asia,36,NA,Yes,No,na,Yes,Yes,Yes,12.2,NA,NA,NA,"No protocol,registry",No,NA,NA,"terminated before sample size because primary outcome (posthepatectomy failure grade B and C) +++ significant. No mention mean or median (only written ""X(min-max)"")",https://www.thaiclinicaltrials.org/show/TCTR20210527003,NA,CCI not an endpoint,No,No,No,Yes,NA,Not mentioned,No,NA,NA,NA
NCT03651154,Protocol,55,"Hypovolaemic phlebotomy in patients undergoing hepatic resection at higher risk of blood loss (PRICE-2): a randomised controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214347564&doi=10.1016%2fS2468-1253%2824%2900307-8&partnerID=40&md5=d0c8390c92f326eac18e26f52bb68f67
",NA,Not pilot study,No,No,Abdominal Surgery,North America,486,NA,Yes,No,na,Yes,No,No,0,Median,NA,NA,Protocol published,No,NA,NA,sample size calculated based on main outcome = periop RBC transfusion incidence decrease of 10%,10.1186/s13063-022-07008-y,NA,CCI non-primary endpoint,No,Yes,No,Yes,No,"A review of observational data from The Ottawa Hospital collected between 2010 and 2016 suggests that the cumulative incidence of any perioperative blood transfusion among patients undergoing liver resection is 24% (n=316) [41]. Similarly, data from 85 participating NSQIP hospitals in 2013 documented a transfusion incidence of 22% (n=2448) [9], whereas a Canadian multicentre collaborative documented 26.5% (n=1287) [61]. Our group has documented a transfusion rate of 11.1% in an observational cohort of 45 patients with HP [41]. PRICE-2 is powered to detect a clinically important decrease in perioperative 30-day blood transfusion incidence of 20 to 10% with HP, at 80% power and 5% alpha error (199 patients per arm). A relative risk reduction of 50% has been previously targeted in other transfusion trials in major abdominal surgery [62]. PRICE-2 will include one Haybittle-Peto interim analysis, which does not require sample size adjustment. Allowance is made for a 5% rate of partial protocol compliance or non-compliance in the intervention arm, yielding an 11% increase in total sample size based on the Lachin formula [63]. This trial will thus recruit until 440 patients have been randomized and have had a liver resection after excluding patients that were enrolled and randomized but who did not undergo a liver resection due to disease progression and unresectability identified at surgery (modified intention-to-treat analysis).",Yes,Superiority trial (explicited),NA,NA
NCT05392452,Protocol,59,"Perioperative Fully Closed-loop Versus Usual Care Glucose Management in Adults Undergoing Major Abdominal Surgery A Two-centre Randomized Controlled Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205759947&doi=10.1097%2fSLA.0000000000006549&partnerID=40&md5=62fc7d7f26b8937b13d695640c5bcbf3
",NA,Not pilot study,No,No,"ICU,Anesthesiology",Europe,38,NA,Yes,No,na,Yes,NA,Yes,17.4,Mean,NA,NA,"No protocol,registry",No,NA,NA,"sample size calculated based on main outcome = % time glucose concentration in target, difference of 20%",https://clinicaltrials.gov/study/NCT05392452?tab=history&a=3,NA,CCI non-primary endpoint,No,Yes,No,Yes,NA,Not mentioned,No,NA,NA,NA
NCT04397783,Protocol,64,"Fascial incision shapes and paracolostomy hernia: cruciate vs. reinforced longitudinal (the “Hepworth hitch”): longcross randomized controlled trial (GECO2 STUDY)
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010191571&doi=10.1007%2fs00384-025-04939-1&partnerID=40&md5=ffe3d3b02ab3e422ae6f636b459213e6
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,95,NA,Yes,No,na,No,No,No,5.7,Median,NA,NA,"No protocol,registry",No,NA,NA,sample size calculated based on main outcome = reduction from 50% to 20% of rates of parastomal hernia (PH) at 2 years,https://clinicaltrials.gov/study/NCT04397783,NA,CCI non-primary endpoint,No,Yes,No,Yes,No,"According to published clinical trials and systematic reviews, up to 50% of patients with a terminal colostomy will develop a parastomal hernia. The estimated risk based on the publication by Manook et al, with the longitudinal incision of the fascia and Hepworth stitches is 10%. With the confidence level to 95% and a statistical power of 80% and having an expected loss ratio of 10% in each group, the sample size should be 21 in each group.",No,NA,NA,NA
NCT06510088,Protocol,67,"Prognostic impact of a 3-week multimodal prehabilitation program on frail elderly patients undergoing elective gastric cancer surgery: a randomized trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209476112&doi=10.1186%2fs12876-024-03490-7&partnerID=40&md5=05f18865851b661a7278cae0b6a38921
",NA,Not pilot study,No,No,Abdominal Surgery,Asia,126,NA,Yes,No,na,No,No,No,0,Median,NA,Neutral,"No protocol,registry",No,NA,used mean and median. In initial protocol they defined co-primary EP,NA,https://clinicaltrials.gov/study/NCT06510088?tab=table,NA,CCI primary endpoint,Yes,No,No,Yes,NA,Not mentioned,No,NA,NA,NA
NCT04247776,Protocol,83,"A multimodal prehabilitation class for Enhanced Recovery After Surgery: a pragmatic randomised type 1 hybrid effectiveness-implementation trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002137255&doi=10.1016%2fj.bja.2025.03.001&partnerID=40&md5=05a0a57c188019c76d0b122db169fe76
",NA,Not pilot study,No,No,Abdominal Surgery,North America,110,NA,Yes,Yes,CCI for all and for those suffering a complication,No,Yes,No,8.7,Median,NA,NA,"No protocol,registry",No,NA,NA,"sample size calculated based on main outcome = LOS difference 2 days; also CCI in mean difference of 0.1 (p>.05), whereas CCI in median difference of 8.7 (p<.05)",https://clinicaltrials.gov/study/NCT04247776,NA,CCI not an endpoint,No,No,No,Yes,NA,Not mentioned,No,NA,NA,NA
